Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,MH_numerator,MH_denominator,strata_count,min_cluster_or,max_cluster_or,MH_OR,A,B,C,D,collapsed_paired_rows,collapsed_pooled_OR,abs_pct_diff_vs_collapsed
Cars,Dark,1,01:00-01:59,19,19:00-19:59,108926.30608516265,113453.5843340777,3,0.9084622527443291,1.0993676674070367,0.9600957671325403,1201020,1391667,259037,298369,13542,0.9940467447568646,3.415430693113776
Cars,Dark,1,01:00-01:59,20,20:00-20:59,91657.07814548744,91844.53839873396,3,0.9212959455490431,1.2283836561695003,0.9979589395677217,666102,1471227,170153,387253,13542,1.0304246309956637,3.150709955037808
Cars,Dark,2,02:00-02:59,5,05:00-05:59,90840.63950641605,54870.674230201,3,1.0908211401397983,1.9440096206751771,1.6555407926155281,522544,450042,178968,270363,13542,1.7540488788805195,5.616039977623764
Cars,Dark,2,02:00-02:59,6,06:00-06:59,105315.05199577498,54425.0683633997,3,1.6901790818833218,2.4517582045212536,1.9350467562590576,1428083,506369,262223,187108,13542,2.01237036917156,3.8424146020563126
Cars,Dark,2,02:00-02:59,17,17:00-17:59,60389.33748528538,48320.69426788857,3,1.1400584146238384,1.976438461442565,1.2497613786442792,3108844,551951,368203,81128,13542,1.241028778191333,0.703658175088659
Cars,Dark,2,02:00-02:59,18,18:00-18:59,90165.21688516685,85764.04257609327,3,0.9722465510037093,1.2897385708024924,1.0513172441139145,2089270,1074583,288813,160518,13542,1.0805916435903815,2.709108445369771
Cars,Dark,2,02:00-02:59,19,19:00-19:59,91474.01175096388,95291.12671214431,3,0.9002252975098138,1.2321289934056134,0.9599425980898396,1201020,1391667,208752,240579,13542,0.9945851733166863,3.4831180029883777
Cars,Dark,2,02:00-02:59,20,20:00-20:59,77974.83718151791,76677.55053814381,3,0.9589500998877666,1.5268628230089734,1.0169187282883891,666102,1471227,135261,314070,13542,1.0512715507258859,3.267740139431781
Cars,Dark,23,23:00-23:59,5,05:00-05:59,155942.15922091794,86302.18290619706,3,1.0853784794861394,1.919402864470964,1.8069318060055632,522544,450042,402422,637561,13542,1.8395425904086882,1.772765935029525
Cars,Dark,23,23:00-23:59,6,06:00-06:59,206282.28438751952,96414.2871849254,3,2.0752300903985472,2.3898003797842042,2.139540626296007,1428083,506369,587076,452907,13542,2.175710189145079,1.6624255854261905
Cars,Dark,23,23:00-23:59,17,17:00-17:59,122877.92196139164,97214.4372009861,3,1.1262673139411126,1.5624072027785911,1.2639884105623866,3108844,551951,851835,188148,13542,1.24406345111637,1.601603152004576
Cars,Dark,23,23:00-23:59,18,18:00-18:59,185119.83260825142,166890.76724058992,3,1.036523752002926,1.1970096767432987,1.1092275245003957,2089270,1074583,658596,381387,13542,1.1259040968118723,1.481171652070386
Cars,Dark,23,23:00-23:59,19,19:00-19:59,182047.08203703474,180415.6500048142,3,0.8956024646030472,1.1061061702731945,1.0090426303492905,1201020,1391667,474736,565247,13542,1.0275453783918211,1.8006745426161783
Cars,Dark,23,23:00-23:59,20,20:00-20:59,149276.1271941695,142435.75326488607,3,0.9228367371569323,1.2502157511411265,1.0480242760156042,666102,1471227,310071,729912,13542,1.0657869664290753,1.6666267249434565
Cars,Daylight,9,09:00-09:59,5,05:00-05:59,212529.03142046207,146400.81542830888,3,0.7476142489084155,1.5388087912175643,1.451692948558303,522544,450042,1195826,1511179,13542,1.4672960129384802,1.0633889987153817
Cars,Daylight,9,09:00-09:59,6,06:00-06:59,305930.2780397313,185712.4576636746,3,1.5973059539923509,1.7978959289893743,1.6473330970277213,1428083,506369,1703303,1003702,13542,1.66187830083815,0.8752267722066562
Cars,Daylight,9,09:00-09:59,17,17:00-17:59,183134.19269996055,202018.0921081205,3,0.863034630589632,0.9189625209198066,0.9065237216573001,3108844,551951,2331845,375160,13542,0.9061816291142561,0.03775099075649285
